capability_id,capability,domain,process,source_requirement,source_spec,expected_role,expected_company,expected_bu,expected_permission,backend_route,backend_state,frontend_route,frontend_component,frontend_repo_state,nav_entry,discoverable,deployed,runtime_visible,runtime_functional,persistence,refresh,relogin,negative_auth,e2e,screenshot,network_evidence,existing_finding,primary_product_status,secondary_gaps,severity,root_cause,owner_decision,remediation_dependency,proposed_remediation_group,evidence_ref
CAP-ADM-06,Navegación adaptada a permisos y unidades,navegacion,—,docs/02 §3.1.3 + GA-REM-040 AC-H02/03,T-040-23 + R-119/H360-F01,todos,efectiva,efectivas,según rol,sesión (permissions + effective_business_units),IMPLEMENTED (fase 8),navigationConfig.ts,Sidebar / MobileDrawer,MISSING (menú estático),—,no (menú completo para todos),ABSENT,no,no,—,—,—,backend sí,—,—,0 hasPermission en frontend,R-98/R-119 abiertos; fase 9 FROZEN,FRONTEND_MISSING,ProtectedRoute.roles es código muerto; el menú enseña puertas que el backend cierra,P1,frontend sin modelo de permisos,—,fase 9 + R-119,G5-rbac-navegacion,EVIDENCE §14
CAP-ADM-07,Estado «sin unidades» (zero-BU),navegacion,—,GA-REM-040 AC-H06,T-040-23 + OD-09.c,usuario sin unidades,efectiva,[],—,(estado de sesión),IMPLEMENTED,—,—,MISSING,—,no,ABSENT,no,no,—,—,—,—,—,—,—,H360-F02 (clase R-150),FRONTEND_MISSING,sin distinción denegación/vacío,P2,frontend nunca construido,—,fase 9,G5-rbac-navegacion,EVIDENCE §15
CAP-ADM-08,Gestión de usuarios (CRUD + desactivación),administracion,P-13,docs/02 §3.1.2,GA-REM-002 AC13–16,admin,efectiva,—,users:*,/users CRUD,IMPLEMENTED,/users,UsersPage,IMPLEMENTED,sí (settings),sí,PRESENT (generación 09-05),sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,P-13 (aislado),—,401 /users,R-122 vigente (columna Empresa),BLOCKED_AUTH,en runtime persiste «denegación = tabla vacía» (R-120 solo en local); columna Empresa ausente (R-122),P2,—,—,R-122,G0-verificacion-auth,EVIDENCE §15
CAP-ADM-09,Roles y permisos (pantalla),administracion,P-13,docs/02 §3.1.3,GA-REM-034,admin,efectiva,—,roles admin,/roles + /roles/permissions-catalog,IMPLEMENTED,/roles,RolesPage,IMPLEMENTED,— (sin enlace; sólo URL directa),sólo por URL,ABSENT (ruta ausente del bundle servido),no,no,sí (local),sí (local),sí (local),BLOCKED_AUTH,P-13 (aislado),—,«/roles» 1 ref vs 7 (deployed vs local),R-99,DEPLOYMENT_STALE,el runtime sirve la generación 09-05; y en local la página no tiene enlace de navegación (sólo URL) — el despliegue por sí solo no la hará descubrible,P2,artefacto congelado (R-99) + exposición incompleta en local,—,R-99 (despliegue) + enlace de navegación,G7-deploy-parity,FINGERPRINT §5 · ROUTE_MAP §1
CAP-ADM-10,Asignación de rol en formulario de usuario,administracion,P-13,OD-13/OD-15,GA-REM-034,admin,efectiva,—,users:update,/users/{id},IMPLEMENTED,/users,UsersPage formulario,IMPLEMENTED,sí,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,P-13,—,—,—,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §13
CAP-BU-01,Entradas productivas de las 4 unidades,productivo,varios,OD-16.a,docs/02 §3.4,todos,efectiva,efectivas,—,rutas /poultry/*,IMPLEMENTED,/poultry + /menu/:key,PoultryHub / ProcessStage,IMPLEMENTED,sí (Gestión Avícola),sí,PRESENT (/poultry ×30 en ambos bundles),sí (estático),BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,p01–p06 (aislado),—,—,—,BLOCKED_AUTH,diferenciación por unidad sin gating (CAP-ADM-06),P2,—,—,CAP-ADM-06,G0-verificacion-auth,EVIDENCE §16
CAP-BU-02,Importación de abuelas — plan tipado (Progenitoras),productivo,P-01,docs/02 §3.4.1 · spec.md §4.4,GA-REM-042/R-152,Supervisor,efectiva,grandparent,operations:create,"POST /operations (import_plan, BR-22)",IMPLEMENTED (exige import_plan),/operations/new,OperationFormPage (plan),IMPLEMENTED,sí (poultry → grandparent),sí en local,ABSENT/DIVERGENT,no (import_plan 0 en bundle),no — 400 BR-22 con la UI antigua,sí (local),sí (local),sí (local),BLOCKED_AUTH,p01 actualizado (local),—,import_plan 0→1 (bundles),R-99 + BR-22,DEPLOYMENT_STALE,EN RUNTIME el flujo está roto: la UI 09-05 no envía el plan → 400 BR-22,P1,artefacto congelado,R-153/AOD-25 depende de R-152 (cerrado),R-99,G7-deploy-parity,EVIDENCE §17
CAP-BU-03,Catálogo de incubadora (mortalidad/descarte),productivo,P-05,Bases p.10 · Rec. §12,GA-REM-021-D/R-171,operativos,efectiva,hatchery,operations:create,POST /operations (mortality/cull),IMPLEMENTED (AC-R161-16),/poultry/hatchery,PoultryStage + processCatalog,IMPLEMENTED,sí,sí en local,ABSENT,no,no (etapa sin los dos tipos),sí (local),sí (local),sí (local),BLOCKED_AUTH,vitest 5/5 (local),—,—,R-171 cerrado (local),DEPLOYMENT_STALE,ui_only pendiente de despliegue,P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §17
CAP-BU-04,Creación automática del lote de abuelas,productivo,P-01,docs/02 §3.4.2 · spec.md §4.4,R-153/AOD-25,sistema/producto,efectiva,grandparent,—,(no existe),MISSING (decisión pendiente),—,—,MISSING,—,no,ABSENT,no,no,—,—,—,—,—,—,—,AOD-25,OWNER_DECISION_REQUIRED,qué es «completar»; código del lote; si puebla; convivencia con vía manual,P3,expectativa no definida,AOD-25,R-152 (cerrado),G1-multiempresa,EVIDENCE §17
CAP-OPS-01,"Recepción de aves (P-01, flujo general)",operativo,P-01,spec.md §4.4,PROCESS-01,Operador/Supervisor,efectiva,—,operations:create,POST /operations,IMPLEMENTED,/operations/new,OperationFormPage,IMPLEMENTED,sí,sí,PRESENT (09-05),sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,E2E-01 (aislado),—,—,—,BLOCKED_AUTH,reproductoras rotas (CAP-OPS-02),—,—,—,CAP-OPS-02,G0-verificacion-auth,EVIDENCE §17
CAP-OPS-02,Recepción de reproductoras — cuadre B01 y pesos B02,operativo,P-01,Rec. §6 · RR-12/13 · BR-20,GA-REM-021-B/037-B,Supervisor,efectiva,breeder,operations:create,POST /operations (BR-20 exige recibidas+mortalidad+rechazo),IMPLEMENTED,/operations/new,OperationFormPage (B01/B02),IMPLEMENTED,sí,sí en local,ABSENT,no,no — 400 BR-20 con la UI antigua,sí (local),sí (local),sí (local),BLOCKED_AUTH,tranche 7 (aislado),—,dead_on_arrival 0→1 (bundles),R-99 + BR-20,DEPLOYMENT_STALE,EN RUNTIME el flujo está roto: la UI 09-05 no declara los tres datos → 400 BR-20,P1,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §17
CAP-OPS-03,Control diario de producción (P-02),operativo,P-02,spec.md §4.x,PROCESS-02/GA-REM-005,Operador,efectiva,—,operations:create,POST /operations,IMPLEMENTED,/operations/new,OperationFormPage,IMPLEMENTED,sí,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,E2E-02 (aislado),—,—,—,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §17
CAP-OPS-04,Nacimiento en incubadora — sanos/débiles (B13) y conteo (R-170),operativo,P-05,Bases p.9 · BR-21,GA-REM-005-C/021-C,Encargado incubadora,efectiva,hatchery,operations:create,POST /operations (BR-21 exige sanos/débiles),IMPLEMENTED,/operations/new,OperationFormPage (birth),IMPLEMENTED,sí,sí en local,ABSENT,no,no — 400 BR-21 con la UI antigua,sí (local),sí (local),sí (local),BLOCKED_AUTH,tranche 8 (aislado),—,chicks_healthy 0→1 (bundles),R-99 + BR-21,DEPLOYMENT_STALE,EN RUNTIME el flujo está roto: la UI 09-05 no envía sanos/débiles y duplica el total → 400 BR-21,P1,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §17
CAP-OPS-05,Consumo de agua (B05),operativo,P-02/P-06,Bases p.2/4/12 · RR-10/11,GA-REM-021-A/R-13,Operador,efectiva,breeder+broiler,operations:create,"POST /operations (water_consumption, water_liters>0)",IMPLEMENTED,/operations/new,OperationFormPage (water),IMPLEMENTED,sí,sí en local,PARCIAL (reporte agregaba),no (captura ausente),no,sí (local),sí (local),sí (local),BLOCKED_AUTH,tranche 6 (aislado),—,water_liters 1→2 (bundles),R-99,DEPLOYMENT_STALE,captura local (72600f1) sin desplegar,P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §17
CAP-OPS-06,Despacho — una sola fila fértil / cantidad > 0 (R-172/R-174),operativo,P-05,BR-02/BR-04,GA-REM-005-E/F,Operador incubadora,efectiva,hatchery,operations:create,POST /operations (dispatch),IMPLEMENTED (solo fértil; >0),/operations/new,OperationFormPage (dispatch),IMPLEMENTED,sí,sí en local,ABSENT/DIVERGENT,no,probable 400 con tipos no fértiles,sí (local),sí (local),sí (local),BLOCKED_AUTH,tranche 10 (aislado),—,commit 64dff76,R-99,DEPLOYMENT_STALE,UI antigua permite tipos hoy rechazados por BR-02,P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §17
CAP-OPS-07,Ciclo Revisión→Corrección→Aprobación (P-07),operativo,P-07,docs/12,PROCESS-03/OD-17/OD-19,Supervisor/Aprobador,efectiva,—,review:*/approvals:*,/review/* + /approvals/*,IMPLEMENTED,/review/* + /approvals,ReviewCenter/Detail/CorrectionForm,IMPLEMENTED,sí,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,E2E-03 (aislado),—,—,—,BLOCKED_AUTH,envío explícito sin UI (CAP-OPS-08); R-181,—,—,—,CAP-OPS-08,G0-verificacion-auth,EVIDENCE §17
CAP-OPS-08,Envío/reenvío explícito a revisión (submit),operativo,P-07,docs/12 §2/§4 · OD-17.b,R-135 (backend) + R-181 (nuevo),Operador/Supervisor,efectiva,—,operations:update,POST /operations/{id}/submit,IMPLEMENTED (desplegado),—,— (servicio sin llamadores),MISSING,—,no,ABSENT,no,no (no existe control UI),—,—,—,backend sí,E2E por API (proceso-03/p06/p14),—,«/submit» 0 refs en bundle; 1 def muerta en src,R-181 NUEVO,FRONTEND_MISSING,el gesto «Operador reenvía» de docs/12 §2 no es ejecutable; los E2E lo suplen por API,P2,vertical UI nunca cableada,—,ninguna (backend listo),G5-rbac-navegacion,EVIDENCE §18
CAP-OPS-09,Pantalla de reverso (solicitar/consultar),operativo,P-07,BR-16 · OD-19,GA-REM-041/R-136,Supervisor/Contraloría,efectiva,según evento,reversals:*,POST/GET /reversals,IMPLEMENTED (desplegado 401),—,—,MISSING (0 referencias),—,no,ABSENT,no,no,—,—,—,backend sí,—,—,401 desplegado,GA-REM-041 §10: fase 9 · R-136 evidencia: «frontend … fase 9»,FRONTEND_MISSING,aplazada explícitamente a fase 9,P2,frontend nunca construido,—,fase 9,G6-reverso,EVIDENCE §18
CAP-OPS-10,Lotes (P-06),operativo,P-06,spec.md §4.x,PROCESS-06/GA-REM-029/036,Admin/Supervisor,efectiva,—,lots:*,/lots*,IMPLEMENTED,/lots*,LotList/Detail/Form,IMPLEMENTED,sí,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,P-06 (aislado),—,—,—,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §17
CAP-OPS-11,Evidencias (subir/descargar),operativo,P-07,Rec. §6 · docs/02 §7,GA-REM-009,operativos,efectiva,—,evidence,POST/GET evidences,IMPLEMENTED (volumen R-52 pendiente),/operations/:id,OperationDetailPage,IMPLEMENTED,detalle,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,—,R-52 vigente,BLOCKED_AUTH,R-52: volumen compartido no montado — evidencias efímeras en el runtime,P1,—,—,R-52,G0-verificacion-auth,EVIDENCE §19
CAP-OPS-12,Dashboard / KPI,operativo,P-15,docs/02 §3.5,PROCESS-15,todos,efectiva,—,—,GET /dashboard/*,IMPLEMENTED,/ + /kpi,DashboardPage,IMPLEMENTED,sí,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,P-15 (aislado),—,—,—,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §19
CAP-OPS-13,SAP — gestión de referencias/envíos,integracion,P-08,docs/10,OD-12/GA-REM-010,Analista SAP,efectiva,—,sap:*,/sap/*,PARTIAL (R-112: 8 rutas sin response_model),/sap,SapManagerPage,IMPLEMENTED,sí,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,—,R-112 · P-08 BLOCKED_EXTERNAL,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §19
CAP-MAS-01,Gestión completa de maestros (19 + áreas),maestros,P-12,docs/02 §3.2,GA-REM-033/R-90/91,admin,efectiva,—,masters:*,/masters/* (20 entidades),IMPLEMENTED,/masters/*,MasterListPage (20),IMPLEMENTED,sí,sí,PARCIAL (/masters 30 refs vs 39),parcial,no (7 nuevos + áreas ausentes),sí (local),sí (local),sí (local),BLOCKED_AUTH,P-12 (aislado),—,—,R-99,DEPLOYMENT_STALE,siete maestros y áreas sin superficie en el runtime,P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §20
CAP-MAS-02,Áreas (maestro administrable),maestros,P-12,GA-REM-039,OD-08,admin,efectiva,—,masters:*,/masters/areas,IMPLEMENTED,/masters/areas,MasterListPage (areas),IMPLEMENTED,sí en local,sí en local,ABSENT,no,no,sí (local),sí (local),sí (local),BLOCKED_AUTH,—,—,areas 2→3 (bundles),R-99,DEPLOYMENT_STALE,maestro creado 09-07 no desplegado,P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §20
CAP-MAS-03,Curvas de peso (carga de tabla + evaluación),maestros,P-03,OD-06 · R-96,R-96/97 · GA-REM-037,admin,efectiva,—,masters:*,/masters/genetic-lines/:id/weight-curves + service,IMPLEMENTED,/masters/genetic-lines/:id/weight-curves,WeightCurvesPage,IMPLEMENTED,sí en local,sí en local,ABSENT,no (/weight-curves 0→6),no,sí (local),sí (local),sí (local),BLOCKED_AUTH,p03 (aislado),—,/weight-curves 0→6 (bundles),R-99,DEPLOYMENT_STALE,capacidad de carga local (09-06) no desplegada,P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §20
CAP-AUD-01,Auditoría — filtros reales y cobertura,auditoria,P-09,docs/02 §3.11.2,GA-REM-032/R-81/82/84,Auditor,efectiva,—,audit:read,/audit/*,IMPLEMENTED,/audit,AuditPage,IMPLEMENTED,sí,sí,DIVERGENT (generación 09-05),sí (versión antigua),no (pestañas que no filtraban),sí (local),sí (local),sí (local),BLOCKED_AUTH,—,—,4386f87,R-99,DEPLOYMENT_STALE,el runtime aún muestra los filtros que no filtraban (R-82 certificado técnicamente),P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §20
CAP-NOT-01,Notificaciones internas (campana/bandeja),notificaciones,P-14,OD-07 · docs/02 §3.14,GA-REM-038/R-38,todos,efectiva,—,—,/notifications/*,IMPLEMENTED,/notifications (campana en header),NotificationBell + service,IMPLEMENTED,header,sí en local,ABSENT,no (/notifications 0→3),no,sí (local),sí (local),sí (local),BLOCKED_AUTH,p14 (aislado),—,/notifications 0→3 (bundles),R-99,DEPLOYMENT_STALE,canal interno completo sin desplegar (P-14 certificado en aislado),P2,artefacto congelado,—,R-99,G7-deploy-parity,EVIDENCE §20
CAP-ERR-01,Estados de error distinguibles (denegación ≠ vacío),ux,—,R-120 · H360-F02,GA-REM-002 AC16,todos,efectiva,—,—,—,—,/users (patrón) + resto,UsersPage (+ resto pendiente R-150),PARTIAL,—,—,ABSENT,no (persiste Promise.all + catch{}),no,—,—,—,—,—,—,bundle desplegado con el patrón antiguo,R-99 · R-150,DEPLOYMENT_STALE,el patrón corregido (09-08) no está desplegado; R-150 cubre el resto de páginas,P2,artefacto congelado,—,R-99 · R-150,G7-deploy-parity,EVIDENCE §21
